#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
UL18	UL38	10001488	10001486	10298.VP23_HHV11	10298.VP19_HHV11	0	0	0	0	0	0.435	0	0.885	0.932
UL49	UL48	10001487	10001485	10298.VP22_HHV11	10298.VP16_HHV11	0	0	0	0	0	0.473	0	0.876	0.932
UL33	UL28	10001465	10001464	10298.TRM2_HHV11	10298.TRM1_HHV11	0	0	0	0	0	0.473	0	0.874	0.931
ICP27	ICP-8	10001438	10001418	10298.ICP27_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0.435	0	0.883	0.931
UL5	ICP-8	10001434	10001418	10298.HELI_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0.435	0	0.878	0.929
UL25	UL17	10001473	10001470	10298.UL25_HHV11	10298.UL17_HHV11	0	0	0	0	0	0.473	0	0.870	0.929
UL4	ICP22	10001447	10001437	10298.NP04_HHV11	10298.ICP22_HHV11	0	0	0	0	0	0.435	0	0.874	0.926
UL49	gE	10001487	10001425	10298.VP22_HHV11	10298.GE_HHV11	0	0	0	0	0	0.488	0	0.861	0.926
UL15	UL6	10001466	10001450	10298.TRM3_HHV11	10298.PORTL_HHV11	0	0	0	0	0	0.435	0	0.871	0.925
US11	BECN1	10001454	1854331	10298.RNB_HHV11	9606.ENSP00000355231	0	0	0	0	0	0	0	0.925	0.925
UL28	UL6	10001464	10001450	10298.TRM1_HHV11	10298.PORTL_HHV11	0	0	0	0	0	0.435	0	0.872	0.925
UL48	UL47	10001485	10001461	10298.VP16_HHV11	10298.TEG5_HHV11	0	0	0	0	0	0.447	0	0.867	0.924
UL49	Vhs	10001487	10001456	10298.VP22_HHV11	10298.SHUT_HHV11	0	0	0	0	0	0.473	0	0.861	0.923
ICP-8	UL12	10001418	10001417	10298.DNBI_HHV11	10298.AN_HHV11	0	0	0	0	0	0.435	0	0.856	0.915
UL37	UL36	10001477	10001443	10298.UL37_HHV11	10298.LTP_HHV11	0	0	0	0	0	0.440	0	0.854	0.915
GTF2B	IRF3	1855275	1849262	9606.ENSP00000359531	9606.ENSP00000310127	0	0	0	0	0	0	0.900	0.192	0.915
UL16	UL21	10001469	10001460	10298.UL16_HHV11	10298.TEG4_HHV11	0	0	0	0	0	0.446	0	0.843	0.910
gN	gM	10001433	10001432	10298.GN_HHV11	10298.GM_HHV11	0	0	0	0	0	0.447	0	0.832	0.903
UL16	UL11	10001469	10001458	10298.UL16_HHV11	10298.TEG2_HHV11	0	0	0	0	0	0.435	0	0.834	0.902
UL4	ICP4	10001447	10001441	10298.NP04_HHV11	10298.ICP4_HHV11	0	0	0	0	0	0.134	0	0.900	0.901
UL20	gK	10001471	10001430	10298.UL20_HHV11	10298.GK_HHV11	0	0	0	0	0	0.435	0	0.828	0.899
UL52	UL5	10001451	10001434	10298.PRIM_HHV11	10298.HELI_HHV11	0	0	0	0	0	0.128	0	0.896	0.897
UL4	ICP27	10001447	10001438	10298.NP04_HHV11	10298.ICP27_HHV11	0	0	0	0	0	0	0	0.895	0.896
gI	gE	10001428	10001425	10298.GI_HHV11	10298.GE_HHV11	0	0	0	0	0	0	0	0.891	0.891
UL48	ICP27	10001485	10001438	10298.VP16_HHV11	10298.ICP27_HHV11	0	0	0	0	0	0	0	0.890	0.890
UL34	UL31	10001476	10001474	10298.UL34_HHV11	10298.UL31_HHV11	0	0	0	0	0	0.128	0	0.889	0.889
OBP	ICP-8	10001448	10001418	10298.OBP_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0	0	0.887	0.888
gH	gE	10001427	10001425	10298.GH_HHV11	10298.GE_HHV11	0	0	0	0	0	0	0	0.886	0.887
ICP27	gB	10001438	10001422	10298.ICP27_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.886	0.886
ICP4	gC	10001441	10001423	10298.ICP4_HHV11	10298.GC_HHV11	0	0	0	0	0	0.118	0	0.884	0.884
UL48	TBP	10001485	1843249	10298.VP16_HHV11	9606.ENSP00000230354	0	0	0	0	0	0	0	0.880	0.881
UL48	gH	10001485	10001427	10298.VP16_HHV11	10298.GH_HHV11	0	0	0	0	0	0	0	0.875	0.876
ICP27	gC	10001438	10001423	10298.ICP27_HHV11	10298.GC_HHV11	0	0	0	0	0	0	0	0.873	0.874
US3	UL34	10001481	10001476	10298.US03_HHV11	10298.UL34_HHV11	0	0	0	0	0	0	0	0.873	0.874
US9	gE	10001484	10001425	10298.US9_HHV11	10298.GE_HHV11	0	0	0	0	0	0	0	0.869	0.870
US3	ICP4	10001481	10001441	10298.US03_HHV11	10298.ICP4_HHV11	0	0	0	0	0	0	0	0.867	0.868
UL13	ICP22	10001468	10001437	10298.UL13_HHV11	10298.ICP22_HHV11	0	0	0	0	0	0	0	0.867	0.867
US3	gB	10001481	10001422	10298.US03_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.865	0.865
UL32	UL28	10001475	10001464	10298.UL32_HHV11	10298.TRM1_HHV11	0	0	0	0	0	0	0	0.862	0.862
UL49	gD	10001487	10001424	10298.VP22_HHV11	10298.GD_HHV11	0	0	0	0	0	0.113	0	0.861	0.861
UL49	gM	10001487	10001432	10298.VP22_HHV11	10298.GM_HHV11	0	0	0	0	0	0	0	0.859	0.859
US3	UL13	10001481	10001468	10298.US03_HHV11	10298.UL13_HHV11	0	0	0	0	0	0	0	0.853	0.853
UL52	ICP27	10001451	10001438	10298.PRIM_HHV11	10298.ICP27_HHV11	0	0	0	0	0	0	0	0.847	0.848
ICP22	TP53	10001437	1846083	10298.ICP22_HHV11	9606.ENSP00000269305	0	0	0	0	0	0	0	0.845	0.845
UL37	ICP-8	10001477	10001418	10298.UL37_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0	0	0.845	0.845
UL11	gE	10001458	10001425	10298.TEG2_HHV11	10298.GE_HHV11	0	0	0	0	0	0	0	0.845	0.845
UL13	UL47	10001468	10001461	10298.UL13_HHV11	10298.TEG5_HHV11	0	0	0	0	0	0	0	0.844	0.844
JUN	TBP	1855436	1843249	9606.ENSP00000360266	9606.ENSP00000230354	0	0	0	0	0	0.450	0	0.727	0.843
UL24	ICP27	10001472	10001438	10298.UL24_HHV11	10298.ICP27_HHV11	0	0	0	0	0	0.117	0	0.840	0.841
gK	gG	10001430	10001426	10298.GK_HHV11	10298.GG_HHV11	0	0	0	0	0	0.447	0	0.720	0.839
UL47	ICP27	10001461	10001438	10298.TEG5_HHV11	10298.ICP27_HHV11	0	0	0	0	0	0	0	0.838	0.839
UDG	UL30	10001479	10001419	10298.UNG_HHV11	10298.DPOL_HHV11	0	0	0	0	0	0	0	0.836	0.836
UL13	US11	10001468	10001454	10298.UL13_HHV11	10298.RNB_HHV11	0	0	0	0	0	0	0	0.830	0.830
gK	dUTPase	10001430	10001420	10298.GK_HHV11	10298.DUT_HHV11	0	0	0	0	0	0	0	0.828	0.828
UL11	gN	10001458	10001433	10298.TEG2_HHV11	10298.GN_HHV11	0	0	0	0	0	0	0	0.828	0.828
US3	UL46	10001481	10001457	10298.US03_HHV11	10298.TEG1_HHV11	0	0	0	0	0	0	0	0.828	0.828
UL20	gM	10001471	10001432	10298.UL20_HHV11	10298.GM_HHV11	0	0	0	0	0	0	0	0.826	0.826
UL21	UL11	10001460	10001458	10298.TEG4_HHV11	10298.TEG2_HHV11	0	0	0	0	0	0	0	0.821	0.821
UDG	PAP	10001479	10001449	10298.UNG_HHV11	10298.PAP_HHV11	0	0	0	0	0	0.128	0	0.819	0.819
gM	gH	10001432	10001427	10298.GM_HHV11	10298.GH_HHV11	0	0	0	0	0	0	0	0.783	0.784
gL	gJ	10001431	10001429	10298.GL_HHV11	10298.GJ_HHV11	0	0	0	0	0	0	0	0.778	0.778
BECN1	TP53	1854331	1846083	9606.ENSP00000355231	9606.ENSP00000269305	0	0	0	0	0	0	0	0.775	0.775
gL	gD	10001431	10001424	10298.GL_HHV11	10298.GD_HHV11	0	0	0	0	0	0	0	0.771	0.772
gK	gD	10001430	10001424	10298.GK_HHV11	10298.GD_HHV11	0	0	0	0	0	0	0	0.767	0.768
gM	gG	10001432	10001426	10298.GM_HHV11	10298.GG_HHV11	0	0	0	0	0	0	0	0.768	0.768
gM	gK	10001432	10001430	10298.GM_HHV11	10298.GK_HHV11	0	0	0	0	0	0	0	0.761	0.762
gL	gB	10001431	10001422	10298.GL_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.761	0.761
gK	gB	10001430	10001422	10298.GK_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.757	0.757
ICP4	ICP0	10001441	10001436	10298.ICP4_HHV11	10298.ICP0_HHV11	0	0	0	0	0	0.435	0	0.574	0.749
gJ	gD	10001429	10001424	10298.GJ_HHV11	10298.GD_HHV11	0	0	0	0	0	0	0	0.749	0.749
gG	gD	10001426	10001424	10298.GG_HHV11	10298.GD_HHV11	0	0	0	0	0	0	0	0.747	0.747
gM	gJ	10001432	10001429	10298.GM_HHV11	10298.GJ_HHV11	0	0	0	0	0	0	0	0.735	0.735
gJ	gB	10001429	10001422	10298.GJ_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.735	0.735
gJ	gG	10001429	10001426	10298.GJ_HHV11	10298.GG_HHV11	0	0	0	0	0	0	0	0.734	0.734
R2	R1	10001453	10001452	10298.RIR2_HHV11	10298.RIR1_HHV11	0	0	0	0	0	0.643	0	0.267	0.728
gG	gB	10001426	10001422	10298.GG_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.722	0.722
gM	gL	10001432	10001431	10298.GM_HHV11	10298.GL_HHV11	0	0	0	0	0	0	0	0.719	0.720
gL	gK	10001431	10001430	10298.GL_HHV11	10298.GK_HHV11	0	0	0	0	0	0	0	0.717	0.717
gL	gG	10001431	10001426	10298.GL_HHV11	10298.GG_HHV11	0	0	0	0	0	0	0	0.714	0.715
UL4	gL	10001447	10001431	10298.NP04_HHV11	10298.GL_HHV11	0	0	0	0	0	0	0	0.714	0.714
gK	gH	10001430	10001427	10298.GK_HHV11	10298.GH_HHV11	0	0	0	0	0	0	0	0.709	0.710
gH	gG	10001427	10001426	10298.GH_HHV11	10298.GG_HHV11	0	0	0	0	0	0	0	0.707	0.707
TK	gL	10001442	10001431	10298.KITH_HHV11	10298.GL_HHV11	0	0	0	0	0	0	0	0.688	0.689
gK	gJ	10001430	10001429	10298.GK_HHV11	10298.GJ_HHV11	0	0	0	0	0	0	0	0.684	0.684
UL4	gJ	10001447	10001429	10298.NP04_HHV11	10298.GJ_HHV11	0	0	0	0	0	0	0	0.684	0.684
ICP4	ICP-8	10001441	10001418	10298.ICP4_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0.435	0	0.459	0.682
R1	ICP27	10001452	10001438	10298.RIR1_HHV11	10298.ICP27_HHV11	0	0	0	0	0	0.497	0	0.373	0.672
UL43	gJ	10001444	10001429	10298.MB43_HHV11	10298.GJ_HHV11	0	0	0	0	0	0.447	0	0.428	0.670
UL35	MCP	10001489	10001445	10298.VP26_HHV11	10298.MCP_HHV11	0	0	0	0	0	0.435	0	0.437	0.669
gJ	gH	10001429	10001427	10298.GJ_HHV11	10298.GH_HHV11	0	0	0	0	0	0	0	0.668	0.668
gK	gE	10001430	10001425	10298.GK_HHV11	10298.GE_HHV11	0	0	0	0	0	0.447	0	0.418	0.665
UL15	UL33	10001466	10001465	10298.TRM3_HHV11	10298.TRM2_HHV11	0	0	0	0	0	0.473	0	0.384	0.662
PAP	OBP	10001449	10001448	10298.PAP_HHV11	10298.OBP_HHV11	0	0	0	0	0	0.435	0	0.423	0.660
HEPA	UL30	10001435	10001419	10298.HEPA_HHV11	10298.DPOL_HHV11	0	0	0	0	0	0.435	0	0.423	0.660
PAP	ICP-8	10001449	10001418	10298.PAP_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0.435	0	0.416	0.656
UL32	UL15	10001475	10001466	10298.UL32_HHV11	10298.TRM3_HHV11	0	0	0	0	0	0.500	0	0.338	0.656
UL49	UL47	10001487	10001461	10298.VP22_HHV11	10298.TEG5_HHV11	0	0	0	0	0	0.447	0	0.400	0.654
UL17	UL33	10001470	10001465	10298.UL17_HHV11	10298.TRM2_HHV11	0	0	0	0	0	0.473	0	0.348	0.642
UL43	gK	10001444	10001430	10298.MB43_HHV11	10298.GK_HHV11	0	0	0	0	0	0.473	0	0.349	0.642
UL4	TK	10001447	10001442	10298.NP04_HHV11	10298.KITH_HHV11	0	0	0	0	0	0.122	0	0.626	0.626
UL4	gB	10001447	10001422	10298.NP04_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.619	0.620
JUN	BECN1	1855436	1854331	9606.ENSP00000360266	9606.ENSP00000355231	0	0	0	0	0	0	0	0.619	0.619
TK	gJ	10001442	10001429	10298.KITH_HHV11	10298.GJ_HHV11	0	0	0	0	0	0	0	0.618	0.618
UL4	gD	10001447	10001424	10298.NP04_HHV11	10298.GD_HHV11	0	0	0	0	0	0	0	0.618	0.618
UL32	ICP27	10001475	10001438	10298.UL32_HHV11	10298.ICP27_HHV11	0	0	0	0	0	0.447	0	0.333	0.616
pPR	MCP	10001455	10001445	10298.SCAF_HHV11	10298.MCP_HHV11	0	0	0	0	0	0.435	0	0.339	0.611
UL48	UL46	10001485	10001457	10298.VP16_HHV11	10298.TEG1_HHV11	0	0	0	0	0	0.435	0	0.335	0.609
UL47	UL21	10001461	10001460	10298.TEG5_HHV11	10298.TEG4_HHV11	0	0	0	0	0	0.489	0	0.257	0.605
UL4	UL3	10001447	10001446	10298.NP04_HHV11	10298.NP03_HHV11	0	0	0	0	0	0.447	0	0.310	0.602
pPR	gK	10001455	10001430	10298.SCAF_HHV11	10298.GK_HHV11	0	0	0	0	0	0.473	0	0.271	0.600
US2	UL28	10001480	10001464	10298.US02_HHV11	10298.TRM1_HHV11	0	0	0	0	0	0.554	0	0.133	0.597
UL38	UL33	10001486	10001465	10298.VP19_HHV11	10298.TRM2_HHV11	0	0	0	0	0	0.473	0	0.261	0.594
UL4	gG	10001447	10001426	10298.NP04_HHV11	10298.GG_HHV11	0	0	0	0	0	0	0	0.593	0.593
UL4	gM	10001447	10001432	10298.NP04_HHV11	10298.GM_HHV11	0	0	0	0	0	0	0	0.586	0.587
UDG	R2	10001479	10001453	10298.UNG_HHV11	10298.RIR2_HHV11	0	0	0	0	0	0.526	0	0.160	0.585
UL4	gK	10001447	10001430	10298.NP04_HHV11	10298.GK_HHV11	0	0	0	0	0	0	0	0.583	0.584
gJ	TP53	10001429	1846083	10298.GJ_HHV11	9606.ENSP00000269305	0	0	0	0	0	0	0	0.579	0.579
UL20	UL21	10001471	10001460	10298.UL20_HHV11	10298.TEG4_HHV11	0	0	0	0	0	0.447	0	0.267	0.578
UDG	gK	10001479	10001430	10298.UNG_HHV11	10298.GK_HHV11	0	0	0	0	0	0.473	0	0.225	0.574
gL	TP53	10001431	1846083	10298.GL_HHV11	9606.ENSP00000269305	0	0	0	0	0	0	0	0.573	0.573
UL48	UL36	10001485	10001443	10298.VP16_HHV11	10298.LTP_HHV11	0	0	0	0	0	0.447	0	0.259	0.573
US11	PABPC1	10001454	1849591	10298.RNB_HHV11	9606.ENSP00000313007	0	0	0	0	0	0.447	0	0.256	0.571
UL43	gN	10001444	10001433	10298.MB43_HHV11	10298.GN_HHV11	0	0	0	0	0	0.473	0	0.217	0.570
UL16	MCP	10001469	10001445	10298.UL16_HHV11	10298.MCP_HHV11	0	0	0	0	0	0.435	0	0.266	0.568
UL31	UL25	10001474	10001473	10298.UL31_HHV11	10298.UL25_HHV11	0	0	0	0	0	0.473	0	0.212	0.567
UL31	UL17	10001474	10001470	10298.UL31_HHV11	10298.UL17_HHV11	0	0	0	0	0	0.473	0	0.210	0.566
US10	TK	10001482	10001442	10298.US10_HHV11	10298.KITH_HHV11	0	0	0	0	0	0.512	0	0.143	0.564
UL16	UL7	10001469	10001467	10298.UL16_HHV11	10298.UL07_HHV11	0	0	0	0	0	0.479	0	0.188	0.559
ICP22	gI	10001437	10001428	10298.ICP22_HHV11	10298.GI_HHV11	0	0	0	0	0	0.447	0	0.232	0.557
R2	UL30	10001453	10001419	10298.RIR2_HHV11	10298.DPOL_HHV11	0	0	0	0	0	0.524	0	0.106	0.556
UL15	OBP	10001466	10001448	10298.TRM3_HHV11	10298.OBP_HHV11	0	0	0	0	0	0.473	0	0.186	0.553
US2	UL43	10001480	10001444	10298.US02_HHV11	10298.MB43_HHV11	0	0	0	0	0	0.499	0	0.142	0.552
gK	UL30	10001430	10001419	10298.GK_HHV11	10298.DPOL_HHV11	0	0	0	0	0	0.473	0	0.177	0.548
UL16	UL14	10001469	10001459	10298.UL16_HHV11	10298.TEG3_HHV11	0	0	0	0	0	0.473	0	0.177	0.548
UDG	UL12	10001479	10001417	10298.UNG_HHV11	10298.AN_HHV11	0	0	0	0	0	0.447	0	0.216	0.548
UL47	ICP22	10001461	10001437	10298.TEG5_HHV11	10298.ICP22_HHV11	0	0	0	0	0	0.447	0	0.215	0.548
UDG	UL37	10001479	10001477	10298.UNG_HHV11	10298.UL37_HHV11	0	0	0	0	0	0.512	0	0.109	0.547
UL28	gK	10001464	10001430	10298.TRM1_HHV11	10298.GK_HHV11	0	0	0	0	0	0.479	0	0.165	0.546
UL46	gK	10001457	10001430	10298.TEG1_HHV11	10298.GK_HHV11	0	0	0	0	0	0.473	0	0.168	0.543
UL31	UL33	10001474	10001465	10298.UL31_HHV11	10298.TRM2_HHV11	0	0	0	0	0	0.439	0	0.216	0.542
UL32	UL30	10001475	10001419	10298.UL32_HHV11	10298.DPOL_HHV11	0	0	0	0	0	0.447	0	0.205	0.542
UL46	UL45	10001457	10001421	10298.TEG1_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.473	0	0.165	0.541
UL43	UL45	10001444	10001421	10298.MB43_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.473	0	0.165	0.541
UL7	UL15	10001467	10001466	10298.UL07_HHV11	10298.TRM3_HHV11	0	0	0	0	0	0.473	0	0.161	0.539
US2	gK	10001480	10001430	10298.US02_HHV11	10298.GK_HHV11	0	0	0	0	0	0.479	0	0.152	0.539
UL4	gH	10001447	10001427	10298.NP04_HHV11	10298.GH_HHV11	0	0	0	0	0	0	0	0.539	0.539
UL38	UL48	10001486	10001485	10298.VP19_HHV11	10298.VP16_HHV11	0	0	0	0	0	0.447	0	0.198	0.538
UL21	gC	10001460	10001423	10298.TEG4_HHV11	10298.GC_HHV11	0	0	0	0	0	0.486	0	0.134	0.537
UL16	UL33	10001469	10001465	10298.UL16_HHV11	10298.TRM2_HHV11	0	0	0	0	0	0.473	0	0.155	0.536
UL32	gL	10001475	10001431	10298.UL32_HHV11	10298.GL_HHV11	0	0	0	0	0	0	0	0.535	0.535
UL33	gK	10001465	10001430	10298.TRM2_HHV11	10298.GK_HHV11	0	0	0	0	0	0.473	0	0.152	0.534
UL4	ICP0	10001447	10001436	10298.NP04_HHV11	10298.ICP0_HHV11	0	0	0	0	0	0	0	0.532	0.533
UL13	R1	10001468	10001452	10298.UL13_HHV11	10298.RIR1_HHV11	0	0	0	0	0	0.447	0	0.187	0.532
R2	gC	10001453	10001423	10298.RIR2_HHV11	10298.GC_HHV11	0	0	0	0	0	0.515	0	0.071	0.531
TK	gD	10001442	10001424	10298.KITH_HHV11	10298.GD_HHV11	0	0	0	0	0	0	0	0.530	0.530
UL25	UL36	10001473	10001443	10298.UL25_HHV11	10298.LTP_HHV11	0	0	0	0	0	0.435	0	0.203	0.530
UL49	ICP-8	10001487	10001418	10298.VP22_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0.435	0	0.201	0.529
UL47	UL14	10001461	10001459	10298.TEG5_HHV11	10298.TEG3_HHV11	0	0	0	0	0	0.473	0	0.143	0.529
UL17	UL47	10001470	10001461	10298.UL17_HHV11	10298.TEG5_HHV11	0	0	0	0	0	0.445	0	0.178	0.525
UL33	UL14	10001465	10001459	10298.TRM2_HHV11	10298.TEG3_HHV11	0	0	0	0	0	0.473	0	0.135	0.525
UL56	ICP22	10001478	10001437	10298.UL56_HHV11	10298.ICP22_HHV11	0	0	0	0	0	0.447	0	0.175	0.525
UL47	US11	10001461	10001454	10298.TEG5_HHV11	10298.RNB_HHV11	0	0	0	0	0	0.447	0	0.177	0.525
gK	UL45	10001430	10001421	10298.GK_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.473	0	0.130	0.522
UL15	gN	10001466	10001433	10298.TRM3_HHV11	10298.GN_HHV11	0	0	0	0	0	0.473	0	0.131	0.522
US2	UL45	10001480	10001421	10298.US02_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.473	0	0.124	0.519
UL15	UL47	10001466	10001461	10298.TRM3_HHV11	10298.TEG5_HHV11	0	0	0	0	0	0.473	0	0.119	0.516
UL47	R2	10001461	10001453	10298.TEG5_HHV11	10298.RIR2_HHV11	0	0	0	0	0	0.473	0	0.118	0.516
TK	UL45	10001442	10001421	10298.KITH_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.473	0	0.120	0.516
UL55	UL45	10001462	10001421	10298.TEG6_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.473	0	0.117	0.515
TBK1	STAT2	1851202	1849817	9606.ENSP00000329967	9606.ENSP00000315768	0	0	0	0	0.079	0	0	0.493	0.514
UL7	UL14	10001467	10001459	10298.UL07_HHV11	10298.TEG3_HHV11	0	0	0	0	0	0.473	0	0.115	0.514
JUN	STAT2	1855436	1849817	9606.ENSP00000360266	9606.ENSP00000315768	0	0	0	0	0.052	0.170	0	0.432	0.514
UL48	ICP4	10001485	10001441	10298.VP16_HHV11	10298.ICP4_HHV11	0	0	0	0	0	0	0	0.514	0.514
US2	UL7	10001480	10001467	10298.US02_HHV11	10298.UL07_HHV11	0	0	0	0	0	0.499	0	0.067	0.513
UL48	UL4	10001485	10001447	10298.VP16_HHV11	10298.NP04_HHV11	0	0	0	0	0	0.128	0	0.511	0.511
ICP4	gL	10001441	10001431	10298.ICP4_HHV11	10298.GL_HHV11	0	0	0	0	0	0	0	0.509	0.509
TK	gB	10001442	10001422	10298.KITH_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.504	0.505
UL32	UL4	10001475	10001447	10298.UL32_HHV11	10298.NP04_HHV11	0	0	0	0	0	0	0	0.505	0.505
US10	UL45	10001482	10001421	10298.US10_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.473	0	0.100	0.505
UL46	ICP0	10001457	10001436	10298.TEG1_HHV11	10298.ICP0_HHV11	0	0	0	0	0	0.435	0	0.158	0.504
UL33	UL30	10001465	10001419	10298.TRM2_HHV11	10298.DPOL_HHV11	0	0	0	0	0	0.473	0	0.097	0.504
UL33	UL43	10001465	10001444	10298.TRM2_HHV11	10298.MB43_HHV11	0	0	0	0	0	0.473	0	0.093	0.502
US10	UL14	10001482	10001459	10298.US10_HHV11	10298.TEG3_HHV11	0	0	0	0	0	0.473	0	0.094	0.502
UL17	gC	10001470	10001423	10298.UL17_HHV11	10298.GC_HHV11	0	0	0	0	0	0.481	0	0.076	0.500
